"Plate_ID","Well_ID","Row","Col","SampleID","Genotype","BacthID","Seeding_density","Treatment"
" BA071Q1","A01","A",1,"QR19","control","QR19 EB 2/26/24, in stage3, freeze 3/22/24. 4X10^6➨2X10^6",2000,"no"
" BA071Q1","B01","B",1,"QR19","control","QR19 EB 2/26/24, in stage3, freeze 3/22/24. 4X10^6➨2X10^6",2000,"no"
" BA071Q1","C01","C",1,"QR19","control","QR19 EB 2/26/24, in stage3, freeze 3/22/24. 4X10^6➨2X10^6",2000,"0.1umM Stauroporine"
" BA071Q1","D01","D",1,"QR19","control","QR19 EB 2/26/24, in stage3, freeze 3/22/24. 4X10^6➨2X10^6",2000,"0.1umM Stauroporine"
" BA071Q1","E01","E",1,"QR19","control","QR19 EB 2/26/24, in stage3, freeze 3/22/24. 4X10^6➨2X10^6",2000,"0.1umM Stauroporine"
" BA071Q1","F01","F",1,"QR19","control","QR19 EB 2/26/24, in stage3, freeze 3/22/24. 4X10^6➨2X10^6",2000,"0.05% DMSO"
" BA071Q1","G01","G",1,"QR19","control","QR19 EB 2/26/24, in stage3, freeze 3/22/24. 4X10^6➨2X10^6",2000,"0.05% DMSO"
" BA071Q1","H01","H",1,"QR19","control","QR19 EB 2/26/24, in stage3, freeze 3/22/24. 4X10^6➨2X10^6",2000,"0.05% DMSO"
" BA071Q1","A02","A",2,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"Cediranib (AZD2171)"
" BA071Q1","B02","B",2,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"Dovitinib (TKI-258)"
" BA071Q1","C02","C",2,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"CI-1040 (PD184352)"
" BA071Q1","D02","D",2,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"Dasatinib (BMS-354825)"
" BA071Q1","E02","E",2,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"Deforolimus (MK-8669)"
" BA071Q1","F02","F",2,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"Lapatinib Ditosylate (Tykerb)"
" BA071Q1","G02","G",2,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"Gefitinib (Iressa)"
" BA071Q1","H02","H",2,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"Imatinib Mesylate"
" BA071Q1","A03","A",3,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"GDC-0879"
" BA071Q1","B03","B",3,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"LY294002"
" BA071Q1","C03","C",3,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"OSU-03012 (AR-12)"
" BA071Q1","D03","D",3,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"JNJ-38877605"
" BA071Q1","E03","E",3,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"Danusertib (PHA-739358)"
" BA071Q1","F03","F",3,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"BI 2536"
" BA071Q1","G03","G",3,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"Foretinib (GSK1363089, XL880)"
" BA071Q1","H03","H",3,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"SGX-523"
" BA071Q1","A04","A",4,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"Amuvatinib (MP-470)"
" BA071Q1","B04","B",4,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"JNJ-7706621"
" BA071Q1","C04","C",4,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"PD173074"
" BA071Q1","D04","D",4,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"GSK1059615"
" BA071Q1","E04","E",4,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"WYE-354"
" BA071Q1","F04","F",4,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"Vemurafenib (PLX4032)"
" BA071Q1","G04","G",4,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"Genistein"
" BA071Q1","H04","H",4,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"TG100-115"
" BA071Q1","A05","A",5,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"AZD8055"
" BA071Q1","B05","B",5,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"PHT-427"
" BA071Q1","C05","C",5,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"KRN 633"
" BA071Q1","D05","D",5,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"BS-181 HCl"
" BA071Q1","E05","E",5,"QR23","patient","QR23-1 (EB7/31/23, in stage3, freeze 2/2/24) (8 X 10^6➨2.4 X 10^6)",2000,"AT7867"
